Category_Name;Category_ID
Medical Center;4bf58dd8d48988d104941735
Acupuncturist;52e81612bcbc57f1066b7a3b
Alternative Healer;52e81612bcbc57f1066b7a3c
Chiropractor;52e81612bcbc57f1066b7a3a
Dentist's Office;5744ccdfe4b0c0459246b4d6
Doctor's Office;4bf58dd8d48988d177941735
Emergency Room;4bf58dd8d48988d194941735
Eye Doctor;522e32fae4b09b556e370f19
Hospital;4bf58dd8d48988d196941735
Hospital Ward;58daa1558bbb0b01f18ec1f7
Maternity Clinic;56aa371be4b08b9a8d5734ff
Medical Lab;4f4531b14b9074f6e4fb0103
Mental Health Office;52e81612bcbc57f1066b7a39
Nutritionist;58daa1558bbb0b01f18ec1d0
Physical Therapist;5744ccdfe4b0c0459246b4af
Rehab Center;56aa371be4b08b9a8d57351d
Urgent Care Center;56aa371be4b08b9a8d573526
Drugstore;5745c2e4498e11e7bccabdbd
Health & Beauty Service;54541900498ea6ccd0202697
Massage Studio;52f2ab2ebcbc57f1066b8b3c
Medical Supply Store;58daa1558bbb0b01f18ec206
Pharmacy;4bf58dd8d48988d10f951735
Spa;4bf58dd8d48988d1ed941735
Supplement Shop;5744ccdfe4b0c0459246b4cd
Health & Beauty Service;54541900498ea6ccd0202697
Health Food Store;50aa9e744b90af0d42d5de0e
