Neighborhood,Latitude,Longitude,ATIVO,OBITO,RECUPERADO,Population,Cluster
ABOLICAO,-22.8861614,-43.29984570000001,38,47,469,12492,0
ACARI,-22.8221528,-43.3406743,11,53,239,30082,0
AGUA SANTA,-22.9111428,-43.3121258,15,21,218,9632,0
ALTO DA BOA VISTA,-22.9621126,-43.2535816,21,33,311,10277,0
ANCHIETA,-22.8231903,-43.39910689999999,60,104,1097,61217,2
ANDARAI,-22.9290845,-43.25348579999999,70,80,1288,43302,2
ANIL,-22.9558133,-43.3384123,116,93,1490,26589,2
BANCARIOS,-22.7917588,-43.180966,27,30,351,13763,0
BANGU,-22.8753053,-43.4648805,199,693,3918,267438,5
BARRA DA TIJUCA,-22.9997404,-43.3659929,674,422,8903,149516,4
BARRA DE GUARATIBA,-23.0360036,-43.5521395,1,10,67,3935,0
BARROS FILHO,-22.8348857,-43.3631878,17,32,261,15454,0
BENFICA,-22.8922965,-43.240341,40,71,956,27589,0
BENTO RIBEIRO,-22.8666607,-43.3608367,82,121,983,48078,2
BONSUCESSO,-22.8659317,-43.253318,73,122,2594,20582,2
BOTAFOGO,-22.94884465,-43.179829096252966,284,203,4984,91179,1
BRAS DE PINA,-22.831888,-43.2977309,96,163,1269,65144,2
CACHAMBI,-22.8897634,-43.2744953,97,122,1660,46657,2
CACUIA,-22.8217028,-43.1837917,26,36,269,12114,0
CAJU,-22.8803063,-43.2214936,15,28,506,22525,0
CAMORIM,-22.9711394,-43.4311836,25,24,180,2167,0
CAMPINHO,-22.8852187,-43.347738,25,37,360,11172,0
CAMPO DOS AFONSOS,-22.8795186,-43.3803636,3,8,70,1502,0
CAMPO GRANDE,-22.902953,-43.5591295,424,1037,7038,361207,3
CASCADURA,-22.8841816,-43.3283969,45,82,761,37902,0
CATETE,-22.9269199,-43.1802186,78,95,854,26463,0
CATUMBI,-22.9194542,-43.19708060000001,24,45,398,13812,0
CAVALCANTE,-22.8745414,-43.31574929999999,23,41,264,17755,0
CENTRO,-22.9043934,-43.1830653,111,139,3449,45256,2
CIDADE DE DEUS,-22.94803,-43.362903,55,87,488,40167,0
CIDADE NOVA,-22.9100508,-43.201756,7,14,176,6013,0
CIDADE UNIVERSITARIA,-22.8558233,-43.2309583,1,0,50,1712,0
COCOTA,-22.8050047,-43.1805463,28,15,370,5365,0
COELHO NETO,-22.8322449,-43.35019129999999,31,90,576,35665,0
COLEGIO,-22.83979,-43.3357623,37,63,510,32170,0
COMPLEXO DO ALEMAO,-22.8606097,-43.2737506,34,53,139,76057,0
COPACABANA,-22.9719642,-43.1843432,690,577,6870,161031,4
CORDOVIL,-22.8194378,-43.2915908,53,88,919,49722,2
COSME VELHO,-22.9415143,-43.2006244,14,22,236,7896,0
COSMOS,-22.9078051,-43.6144915,66,146,1142,84708,2
COSTA BARROS,-22.8246995,-43.36983950000001,39,59,401,31286,0
