Neighborhood,ATIVO,OBITO,RECUPERADO,Population
ABOLICAO,38.0,47.0,469.0,12492.0
ACARI,11.0,53.0,239.0,30082.0
AGUA SANTA,15.0,21.0,218.0,9632.0
ALTO DA BOA VISTA,21.0,33.0,311.0,10277.0
ANCHIETA,60.0,104.0,1097.0,61217.0
ANDARAI,70.0,80.0,1288.0,43302.0
ANIL,116.0,93.0,1490.0,26589.0
BANCARIOS,27.0,30.0,351.0,13763.0
BANGU,199.0,693.0,3918.0,267438.0
BARRA DA TIJUCA,674.0,422.0,8903.0,149516.0
BARRA DE GUARATIBA,1.0,10.0,67.0,3935.0
BARROS FILHO,17.0,32.0,261.0,15454.0
BENFICA,40.0,71.0,956.0,27589.0
BENTO RIBEIRO,82.0,121.0,983.0,48078.0
BONSUCESSO,73.0,122.0,2594.0,20582.0
BOTAFOGO,284.0,203.0,4984.0,91179.0
BRAS DE PINA,96.0,163.0,1269.0,65144.0
CACHAMBI,97.0,122.0,1660.0,46657.0
CACUIA,26.0,36.0,269.0,12114.0
CAJU,15.0,28.0,506.0,22525.0
CAMORIM,25.0,24.0,180.0,2167.0
CAMPINHO,25.0,37.0,360.0,11172.0
CAMPO DOS AFONSOS,3.0,8.0,70.0,1502.0
CAMPO GRANDE,424.0,1037.0,7038.0,361207.0
CASCADURA,45.0,82.0,761.0,37902.0
CATETE,78.0,95.0,854.0,26463.0
CATUMBI,24.0,45.0,398.0,13812.0
CAVALCANTE,23.0,41.0,264.0,17755.0
CENTRO,111.0,139.0,3449.0,45256.0
CIDADE DE DEUS,55.0,87.0,488.0,40167.0
CIDADE NOVA,7.0,14.0,176.0,6013.0
CIDADE UNIVERSITARIA,1.0,0.0,50.0,1712.0
COCOTA,28.0,15.0,370.0,5365.0
COELHO NETO,31.0,90.0,576.0,35665.0
COLEGIO,37.0,63.0,510.0,32170.0
COMPLEXO DO ALEMAO,34.0,53.0,139.0,76057.0
COPACABANA,690.0,577.0,6870.0,161031.0
CORDOVIL,53.0,88.0,919.0,49722.0
COSME VELHO,14.0,22.0,236.0,7896.0
COSMOS,66.0,146.0,1142.0,84708.0
COSTA BARROS,39.0,59.0,401.0,31286.0
CURICICA,74.0,87.0,971.0,34308.0
DEL CASTILHO,54.0,59.0,954.0,17171.0
DEODORO,8.0,31.0,220.0,11926.0
ENCANTADO,35.0,44.0,405.0,16523.0
ENGENHEIRO LEAL,10.0,10.0,82.0,6724.0
ENGENHO DA RAINHA,50.0,63.0,759.0,29325.0
ENGENHO DE DENTRO,116.0,164.0,1831.0,50094.0
