Neighborhood,Latitude,Longitude,category_name,venues
São Cristóvão,-22.899318,-43.2219346,Medical Center,30
São Cristóvão,-22.899318,-43.2219346,Alternative Healer,2
São Cristóvão,-22.899318,-43.2219346,Dentist's Office,2
São Cristóvão,-22.899318,-43.2219346,Doctor's Office,9
São Cristóvão,-22.899318,-43.2219346,Emergency Room,5
São Cristóvão,-22.899318,-43.2219346,Hospital,13
São Cristóvão,-22.899318,-43.2219346,Maternity Clinic,1
São Cristóvão,-22.899318,-43.2219346,Medical Lab,8
São Cristóvão,-22.899318,-43.2219346,Mental Health Office,5
São Cristóvão,-22.899318,-43.2219346,Physical Therapist,2
São Cristóvão,-22.899318,-43.2219346,Rehab Center,2
São Cristóvão,-22.899318,-43.2219346,Drugstore,5
São Cristóvão,-22.899318,-43.2219346,Health & Beauty Service,7
São Cristóvão,-22.899318,-43.2219346,Pharmacy,18
São Cristóvão,-22.899318,-43.2219346,Spa,5
São Cristóvão,-22.899318,-43.2219346,Health Food Store,2
Benfica,-22.8922965,-43.240341,Medical Center,37
Benfica,-22.8922965,-43.240341,Dentist's Office,7
Benfica,-22.8922965,-43.240341,Doctor's Office,6
Benfica,-22.8922965,-43.240341,Emergency Room,4
Benfica,-22.8922965,-43.240341,Hospital,5
Benfica,-22.8922965,-43.240341,Maternity Clinic,1
Benfica,-22.8922965,-43.240341,Medical Lab,5
Benfica,-22.8922965,-43.240341,Physical Therapist,1
Benfica,-22.8922965,-43.240341,Urgent Care Center,1
Benfica,-22.8922965,-43.240341,Drugstore,2
Benfica,-22.8922965,-43.240341,Health & Beauty Service,3
Benfica,-22.8922965,-43.240341,Pharmacy,4
Benfica,-22.8922965,-43.240341,Health Food Store,2
Caju,-22.8803063,-43.2214936,Medical Center,7
Caju,-22.8803063,-43.2214936,Dentist's Office,4
Caju,-22.8803063,-43.2214936,Doctor's Office,6
Caju,-22.8803063,-43.2214936,Emergency Room,2
Caju,-22.8803063,-43.2214936,Hospital,7
Caju,-22.8803063,-43.2214936,Maternity Clinic,1
Caju,-22.8803063,-43.2214936,Medical Lab,3
Caju,-22.8803063,-43.2214936,Physical Therapist,1
Caju,-22.8803063,-43.2214936,Health & Beauty Service,1
Caju,-22.8803063,-43.2214936,Pharmacy,2
Caju,-22.8803063,-43.2214936,Health Food Store,1
Catumbi,-22.9194542,-43.19708060000001,Medical Center,34
Catumbi,-22.9194542,-43.19708060000001,Alternative Healer,3
Catumbi,-22.9194542,-43.19708060000001,Doctor's Office,3
Catumbi,-22.9194542,-43.19708060000001,Emergency Room,5
Catumbi,-22.9194542,-43.19708060000001,Eye Doctor,1
Catumbi,-22.9194542,-43.19708060000001,Hospital,37
Catumbi,-22.9194542,-43.19708060000001,Medical Lab,3
Catumbi,-22.9194542,-43.19708060000001,Mental Health Office,1
Catumbi,-22.9194542,-43.19708060000001,Physical Therapist,1
Catumbi,-22.9194542,-43.19708060000001,Urgent Care Center,1
Catumbi,-22.9194542,-43.19708060000001,Drugstore,2
Catumbi,-22.9194542,-43.19708060000001,Health & Beauty Service,3
Catumbi,-22.9194542,-43.19708060000001,Massage Studio,2
Catumbi,-22.9194542,-43.19708060000001,Pharmacy,26
Catumbi,-22.9194542,-43.19708060000001,Spa,16
Catumbi,-22.9194542,-43.19708060000001,Health Food Store,4
Centro,-22.9043934,-43.1830653,Medical Center,56
Centro,-22.9043934,-43.1830653,Acupuncturist,4
Centro,-22.9043934,-43.1830653,Alternative Healer,10
Centro,-22.9043934,-43.1830653,Chiropractor,2
Centro,-22.9043934,-43.1830653,Dentist's Office,6
Centro,-22.9043934,-43.1830653,Doctor's Office,25
Centro,-22.9043934,-43.1830653,Emergency Room,6
Centro,-22.9043934,-43.1830653,Eye Doctor,15
Centro,-22.9043934,-43.1830653,Hospital,41
Centro,-22.9043934,-43.1830653,Medical Lab,15
Centro,-22.9043934,-43.1830653,Mental Health Office,4
Centro,-22.9043934,-43.1830653,Nutritionist,2
Centro,-22.9043934,-43.1830653,Physical Therapist,4
Centro,-22.9043934,-43.1830653,Rehab Center,2
Centro,-22.9043934,-43.1830653,Urgent Care Center,1
Centro,-22.9043934,-43.1830653,Drugstore,16
Centro,-22.9043934,-43.1830653,Health & Beauty Service,14
Centro,-22.9043934,-43.1830653,Massage Studio,9
Centro,-22.9043934,-43.1830653,Medical Supply Store,3
Centro,-22.9043934,-43.1830653,Pharmacy,50
Centro,-22.9043934,-43.1830653,Spa,38
Centro,-22.9043934,-43.1830653,Supplement Shop,3
Centro,-22.9043934,-43.1830653,Health Food Store,10
Cidade Nova,-22.9100508,-43.201756,Medical Center,51
Cidade Nova,-22.9100508,-43.201756,Alternative Healer,3
Cidade Nova,-22.9100508,-43.201756,Dentist's Office,2
Cidade Nova,-22.9100508,-43.201756,Doctor's Office,8
Cidade Nova,-22.9100508,-43.201756,Emergency Room,7
Cidade Nova,-22.9100508,-43.201756,Eye Doctor,3
Cidade Nova,-22.9100508,-43.201756,Hospital,36
Cidade Nova,-22.9100508,-43.201756,Medical Lab,15
Cidade Nova,-22.9100508,-43.201756,Mental Health Office,5
Cidade Nova,-22.9100508,-43.201756,Nutritionist,1
Cidade Nova,-22.9100508,-43.201756,Physical Therapist,2
Cidade Nova,-22.9100508,-43.201756,Rehab Center,1
Cidade Nova,-22.9100508,-43.201756,Urgent Care Center,1
Cidade Nova,-22.9100508,-43.201756,Drugstore,4
Cidade Nova,-22.9100508,-43.201756,Health & Beauty Service,4
Cidade Nova,-22.9100508,-43.201756,Massage Studio,3
Cidade Nova,-22.9100508,-43.201756,Pharmacy,36
Cidade Nova,-22.9100508,-43.201756,Spa,16
Cidade Nova,-22.9100508,-43.201756,Supplement Shop,1
Cidade Nova,-22.9100508,-43.201756,Health Food Store,3
Estácio,-22.916626500000003,-43.20363,Medical Center,61
Estácio,-22.916626500000003,-43.20363,Alternative Healer,3
Estácio,-22.916626500000003,-43.20363,Dentist's Office,1
Estácio,-22.916626500000003,-43.20363,Doctor's Office,13
Estácio,-22.916626500000003,-43.20363,Emergency Room,6
Estácio,-22.916626500000003,-43.20363,Eye Doctor,4
Estácio,-22.916626500000003,-43.20363,Hospital,39
Estácio,-22.916626500000003,-43.20363,Medical Lab,17
Estácio,-22.916626500000003,-43.20363,Mental Health Office,4
Estácio,-22.916626500000003,-43.20363,Physical Therapist,3
Estácio,-22.916626500000003,-43.20363,Rehab Center,1
Estácio,-22.916626500000003,-43.20363,Urgent Care Center,1
Estácio,-22.916626500000003,-43.20363,Drugstore,4
Estácio,-22.916626500000003,-43.20363,Health & Beauty Service,4
Estácio,-22.916626500000003,-43.20363,Massage Studio,3
Estácio,-22.916626500000003,-43.20363,Pharmacy,33
Estácio,-22.916626500000003,-43.20363,Spa,20
Estácio,-22.916626500000003,-43.20363,Health Food Store,5
Gamboa,-22.8977491,-43.1929041,Medical Center,46
Gamboa,-22.8977491,-43.1929041,Acupuncturist,2
Gamboa,-22.8977491,-43.1929041,Alternative Healer,6
Gamboa,-22.8977491,-43.1929041,Chiropractor,1
Gamboa,-22.8977491,-43.1929041,Dentist's Office,4
Gamboa,-22.8977491,-43.1929041,Doctor's Office,19
Gamboa,-22.8977491,-43.1929041,Emergency Room,7
Gamboa,-22.8977491,-43.1929041,Eye Doctor,14
Gamboa,-22.8977491,-43.1929041,Hospital,34
Gamboa,-22.8977491,-43.1929041,Medical Lab,9
Gamboa,-22.8977491,-43.1929041,Mental Health Office,5
Gamboa,-22.8977491,-43.1929041,Nutritionist,2
Gamboa,-22.8977491,-43.1929041,Physical Therapist,3
Gamboa,-22.8977491,-43.1929041,Rehab Center,2
Gamboa,-22.8977491,-43.1929041,Urgent Care Center,1
Gamboa,-22.8977491,-43.1929041,Drugstore,13
Gamboa,-22.8977491,-43.1929041,Health & Beauty Service,11
Gamboa,-22.8977491,-43.1929041,Massage Studio,5
Gamboa,-22.8977491,-43.1929041,Medical Supply Store,3
Gamboa,-22.8977491,-43.1929041,Pharmacy,51
Gamboa,-22.8977491,-43.1929041,Spa,29
Gamboa,-22.8977491,-43.1929041,Supplement Shop,3
Gamboa,-22.8977491,-43.1929041,Health Food Store,7
Lapa,-22.9130257,-43.1822358,Medical Center,56
Lapa,-22.9130257,-43.1822358,Acupuncturist,5
Lapa,-22.9130257,-43.1822358,Alternative Healer,10
Lapa,-22.9130257,-43.1822358,Chiropractor,3
Lapa,-22.9130257,-43.1822358,Dentist's Office,6
Lapa,-22.9130257,-43.1822358,Doctor's Office,26
Lapa,-22.9130257,-43.1822358,Emergency Room,6
Lapa,-22.9130257,-43.1822358,Eye Doctor,4
Lapa,-22.9130257,-43.1822358,Hospital,35
Lapa,-22.9130257,-43.1822358,Medical Lab,20
Lapa,-22.9130257,-43.1822358,Mental Health Office,6
Lapa,-22.9130257,-43.1822358,Nutritionist,3
Lapa,-22.9130257,-43.1822358,Physical Therapist,4
Lapa,-22.9130257,-43.1822358,Rehab Center,3
Lapa,-22.9130257,-43.1822358,Urgent Care Center,1
Lapa,-22.9130257,-43.1822358,Drugstore,18
Lapa,-22.9130257,-43.1822358,Health & Beauty Service,17
Lapa,-22.9130257,-43.1822358,Massage Studio,9
Lapa,-22.9130257,-43.1822358,Medical Supply Store,4
Lapa,-22.9130257,-43.1822358,Pharmacy,59
Lapa,-22.9130257,-43.1822358,Spa,45
Lapa,-22.9130257,-43.1822358,Supplement Shop,2
Lapa,-22.9130257,-43.1822358,Health Food Store,11
Rio Comprido,-22.9279449,-43.2088566,Medical Center,33
Rio Comprido,-22.9279449,-43.2088566,Acupuncturist,1
Rio Comprido,-22.9279449,-43.2088566,Alternative Healer,3
Rio Comprido,-22.9279449,-43.2088566,Chiropractor,1
Rio Comprido,-22.9279449,-43.2088566,Dentist's Office,1
Rio Comprido,-22.9279449,-43.2088566,Doctor's Office,13
Rio Comprido,-22.9279449,-43.2088566,Emergency Room,6
Rio Comprido,-22.9279449,-43.2088566,Eye Doctor,3
Rio Comprido,-22.9279449,-43.2088566,Hospital,25
Rio Comprido,-22.9279449,-43.2088566,Medical Lab,3
Rio Comprido,-22.9279449,-43.2088566,Mental Health Office,3
Rio Comprido,-22.9279449,-43.2088566,Physical Therapist,1
Rio Comprido,-22.9279449,-43.2088566,Urgent Care Center,1
Rio Comprido,-22.9279449,-43.2088566,Drugstore,5
Rio Comprido,-22.9279449,-43.2088566,Health & Beauty Service,3
Rio Comprido,-22.9279449,-43.2088566,Massage Studio,4
Rio Comprido,-22.9279449,-43.2088566,Pharmacy,25
Rio Comprido,-22.9279449,-43.2088566,Spa,13
Rio Comprido,-22.9279449,-43.2088566,Health Food Store,5
Santa Teresa,-22.9213991,-43.1882138,Medical Center,55
Santa Teresa,-22.9213991,-43.1882138,Acupuncturist,6
Santa Teresa,-22.9213991,-43.1882138,Alternative Healer,9
Santa Teresa,-22.9213991,-43.1882138,Chiropractor,3
Santa Teresa,-22.9213991,-43.1882138,Dentist's Office,4
Santa Teresa,-22.9213991,-43.1882138,Doctor's Office,21
Santa Teresa,-22.9213991,-43.1882138,Emergency Room,6
Santa Teresa,-22.9213991,-43.1882138,Eye Doctor,5
Santa Teresa,-22.9213991,-43.1882138,Hospital,37
